scan_timestamp_ns,odom_timestamp_ns,expert_command_timestamp_ns,range_000_deg,range_010_deg,range_020_deg,range_030_deg,range_040_deg,range_050_deg,range_060_deg,range_070_deg,range_080_deg,range_090_deg,range_100_deg,range_110_deg,range_120_deg,range_130_deg,range_140_deg,range_150_deg,range_160_deg,range_170_deg,range_180_deg,range_190_deg,range_200_deg,range_210_deg,range_220_deg,range_230_deg,range_240_deg,range_250_deg,range_260_deg,range_270_deg,range_280_deg,range_290_deg,range_300_deg,range_310_deg,range_320_deg,range_330_deg,range_340_deg,range_350_deg,measured_linear_velocity,measured_angular_velocity,measured_linear_acceleration,expert_linear_velocity,expert_angular_velocity
271400000000,271400000000,271402000000,1.2975534796714783,0.9898689389228821,0.6239264905452728,0.44017069041728973,0.3490201532840729,0.29465384781360626,0.25761842727661133,0.22322092950344086,0.21533241868019104,0.21205984801054,0.21873994916677475,0.2370413839817047,0.2491491660475731,0.27966170012950897,0.32719314098358154,0.40667636692523956,0.570136696100235,0.9652375280857086,2.0355141162872314,1.626076102256775,0.5858073830604553,0.4182879626750946,0.32681724429130554,0.2798608988523483,0.2596357613801956,0.24522282183170319,0.24380866438150406,0.24942412972450256,0.26277412474155426,0.30487269163131714,0.37983979284763336,0.48770467936992645,1.7114130854606628,1.5133253931999207,1.3964583277702332,1.320582389831543,0.18372660001195473,-0.0867914665294775,4.0245584642661925e-12,0.18025789832866343,-0.10529120891379506
271600000000,271600000000,271600000000,1.2664650082588196,1.0657896399497986,0.6757728159427643,0.45806796848773956,0.3621695041656494,0.3022342771291733,0.257239893078804,0.23793067783117294,0.2299906685948372,0.22372081875801086,0.2196771577000618,0.23639122396707535,0.23946361243724823,0.26568274199962616,0.31993405520915985,0.3902346342802048,0.5235439836978912,0.8662393689155579,1.9557605981826782,2.2552132606506348,0.6236970722675323,0.432761088013649,0.3483770787715912,0.30462460219860077,0.2811862528324127,0.26769742369651794,0.25585418939590454,0.2696676701307297,0.27943821251392365,0.3123995363712311,0.3696087598800659,1.2602697610855103,1.7052042484283447,1.5006956458091736,1.3735422492027283,1.302108108997345,0.17051624363313977,-0.15724670063353707,-4.718447854656915e-12,0.17019352922356817,-0.15896784414096987
271800000000,271820000000,271799000000,1.2382639646530151,1.2280131578445435,0.7158447802066803,0.49625299870967865,0.3748692125082016,0.3032047301530838,0.26849091053009033,0.23090798407793045,0.2258908823132515,0.2182624787092209,0.2254599630832672,0.23085812479257584,0.23856622725725174,0.26289738714694977,0.31198838353157043,0.38015080988407135,0.4928681254386902,0.7691059410572052,1.8005256056785583,2.2591837644577026,0.6799642443656921,0.47096890211105347,0.3536486029624939,0.31035053730010986,0.2831784337759018,0.27082541584968567,0.2588518112897873,0.26609209179878235,0.2843341678380966,0.32152168452739716,0.37892061471939087,2.0602447986602783,1.706340491771698,1.4978899955749512,1.3642314672470093,1.2736740112304688,0.16379334604502693,-0.19310215443116285,0.009532914915233448,0.1637933460450738,-0.19310215442627304
272000000000,272000000000,271995000000,1.2222153544425964,1.1968138217926025,0.7980406582355499,0.5279944837093353,0.3961111009120941,0.3305126130580902,0.26817964017391205,0.2380431964993477,0.2276611030101776,0.2201775535941124,0.21642478555440903,0.23655863106250763,0.24260810762643814,0.2590017467737198,0.3051100969314575,0.35550835728645325,0.47180747985839844,0.6856497824192047,1.4998100399971008,2.2825485467910767,0.7717739641666412,0.49238502979278564,0.381235733628273,0.32618288695812225,0.2913496494293213,0.2670079469680786,0.2693139612674713,0.26993700861930847,0.2914939373731613,0.3206294775009155,0.3892180472612381,2.1202162504196167,1.7340081930160522,1.4899009466171265,1.357197105884552,1.2570064663887024,0.1603048297731946,-0.21170757456584477,0.005620287988616912,0.16047343841408657,-0.21080832845820502
272200000000,272200000000,272192000000,1.195199728012085,1.1703271865844727,0.8823763430118561,0.5826261639595032,0.4392373263835907,0.33086615800857544,0.28844769299030304,0.2676345407962799,0.24310144782066345,0.2169179618358612,0.21485750377178192,0.22883429378271103,0.2356863021850586,0.2677593529224396,0.3042958825826645,0.34431464970111847,0.43506672978401184,0.6156160831451416,1.1976501941680908,2.2447975873947144,0.9079789519309998,0.5200754106044769,0.4090360999107361,0.3370572030544281,0.30910518765449524,0.28863318264484406,0.28397509455680847,0.2799280136823654,0.2895559072494507,0.32474665343761444,0.36756135523319244,2.2070417404174805,1.762570559978485,1.4830552339553833,1.3500544428825378,1.2420788407325745,0.15953359563826708,-0.21582082324757276,-0.012499073974714392,0.15947110026791625,-0.21615413190444674
272400000000,272400000000,272392000000,1.169092833995819,1.127900242805481,1.13008713722229,0.6517896056175232,0.4647568613290787,0.35693487524986267,0.3077840954065323,0.27933369576931,0.24721067398786545,0.23531486093997955,0.23149877041578293,0.23343686759471893,0.23706354200839996,0.25424638390541077,0.2764270305633545,0.33313725888729095,0.4243636876344681,0.5657632648944855,0.9926283359527588,2.1433191299438477,1.081057369709015,0.5803559720516205,0.42549023032188416,0.3462152034044266,0.3101000636816025,0.2913580685853958,0.27430059015750885,0.290997639298439,0.29905447363853455,0.3344047963619232,0.3792184591293335,2.294802188873291,1.806097388267517,1.5203208327293396,1.344226360321045,1.2333369851112366,0.1607595553966834,-0.2092823712637748,0.025828693528406887,0.16088869886540988,-0.2085936060511474
272600000000,272600000000,272590000000,1.1547630429267883,1.1080875396728516,1.0957624316215515,0.7036460936069489,0.4969746917486191,0.3974921405315399,0.32666416466236115,0.2871812731027603,0.2500941902399063,0.23802554607391357,0.2396114319562912,0.23875760287046432,0.2545396238565445,0.25867797434329987,0.2851252853870392,0.3295454978942871,0.39612576365470886,0.529049277305603,0.8676683306694031,1.9687195420265198,2.4047532081604004,0.622707188129425,0.45236389338970184,0.35839009284973145,0.3269330561161041,0.29168401658535004,0.2868015915155411,0.28699275851249695,0.3108323812484741,0.3232582211494446,0.3827916085720062,2.387666344642639,1.836456537246704,1.523938536643982,1.3348252177238464,1.2230775356292725,0.1664070606899326,-0.17916234303666512,0.03495422627480815,0.16640706069090702,-0.17916234298182937
272800000000,272800000000,272787000000,1.131133496761322,1.0802597403526306,1.062673568725586,0.7646339535713196,0.5538880825042725,0.4134329855442047,0.3498488813638687,0.29793311655521393,0.2678780257701874,0.2470402866601944,0.24503297358751297,0.25111131370067596,0.24882801622152328,0.25082120299339294,0.29051776230335236,0.3387506902217865,0.39721666276454926,0.5284598469734192,0.8044271171092987,1.72689950466156,2.4187819957733154,0.6730540692806244,0.4663916230201721,0.3739384561777115,0.3148605078458786,0.3071194142103195,0.292259082198143,0.296517476439476,0.307656854391098,0.32899099588394165,0.39098288118839264,2.470508575439453,1.8712837100028992,1.5237948298454285,1.3335582613945007,1.199571669101715,0.17113765708795525,-0.15393249556024113,0.03825977863441965,0.17113765708851714,-0.15393249552790875
273000000000,273000000000,272985000000,1.0977625250816345,1.0616803169250488,1.0318199396133423,0.821404367685318,0.5875497460365295,0.4450857490301132,0.3727412074804306,0.3065997213125229,0.28695976734161377,0.26897968351840973,0.2616909146308899,0.2459326758980751,0.2527899444103241,0.2735585421323776,0.292612686753273,0.33897727727890015,0.4134497195482254,0.5223425030708313,0.7743661105632782,1.542934536933899,2.431742310523987,0.7057957649230957,0.4720478057861328,0.3735785186290741,0.3367564082145691,0.3055247813463211,0.29840849339962006,0.28420962393283844,0.31021828949451447,0.34049808979034424,0.3932725191116333,2.5385442972183228,1.8821228742599487,1.5244991779327393,1.3136152029037476,1.180539071559906,0.1758580611806282,-0.12875700705065884,0.04064050971308575,0.17585806118100783,-0.12875700703462495
273200000000,273200000000,273184000000,1.0590651035308838,1.016460120677948,1.0044384598731995,1.0086687207221985,0.627508133649826,0.4792831689119339,0.3797444701194763,0.33232973515987396,0.30734983086586,0.27418074011802673,0.2659960091114044,0.26019005477428436,0.26384739577770233,0.2772170454263687,0.3108978867530823,0.35416460037231445,0.4077035039663315,0.5159992873668671,0.7510638535022736,1.4202324748039246,2.4573585987091064,0.7425488531589508,0.4781118333339691,0.3976280093193054,0.332366481423378,0.3124474585056305,0.2968907207250595,0.3006606996059418,0.3038078099489212,0.3330986052751541,0.4218088835477829,2.5911258459091187,1.8747991919517517,1.513384222984314,1.2968984842300415,1.1627529859542847,0.18075420706679113,-0.10264422898115244,0.04080615803342402,0.1807542070670593,-0.10264422897568375
